comment_id,video_title,author,comment,date,sentiment
UgxSfAmnDhu5DsDKy8t4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,ronki23,great film i'd go a far a putting it in my top star war movie after a new hope and empire strike back,2022-12-09,positive
Ugy3FB7ebaokyRVtxMp4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Zanbox 8873,the only thing which is not worthless is the music the movie wa absolute trash,2023-03-01,positive
UgxCvE6Zra7iaok31Dd4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Jason Leal,this brings me back to downloading this trailer on a irc chat room the anticipation wa crazy,2022-11-15,negative
UgxcxIZh52xNa3PVgv54AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Kartik the dragon,for the people who hate the prequels you guy must know that these movie are for kid not for adult,2022-08-21,negative
Ugw4bUwwveh4I0ZANB14AaABAg,Ahsoka | Teaser Trailer | Disney+,Jamesthestupi,fan of the novel do you think the man with the red lightsaber is cbaoth or however it spelled,2023-04-25,positive
Ugxob3tW6dE6Lx7YtUF4AaABAg,Ahsoka | Teaser Trailer | Disney+,Dr. TJ Eckleburg,oh good more pink haired feminist in a star war show this should work out well,2023-04-25,neutral
Ugz4EwpDJrPjfGgrY0t4AaABAg,Ahsoka | Teaser Trailer | Disney+,KaijuRevengence54,i really want this show to be good but i cant help but feel like this might become she-hulk all over again,2023-04-25,positive
Ugw67TmSSB6FwkaTxal4AaABAg,Andor | Official Trailer | Disney+,Satguy,i don't know how i feel about this show because the audio is so low on episode it's virtually impossible to hear it i have no other problem on any other show that disney's put out except this one why disney,2022-10-04,negative
UgwcG9DTEOorM-COqTZ4AaABAg,Andor | Official Trailer | Disney+,JarheadJah,one of the best show i ever seen i cannot believe this is star war with the exception of two episode maybe each one is like a mini movie i am not even joking a must watch,2023-03-10,positive
Ugzm10I87k_mQ7NfnGF4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,ObsessedCollector,a long time ago in a theater far far away when faded in the theater went nut i miss those day,2023-04-26,negative
Ugxli9gMABBKIVEdMxN4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,GreenLightMe,oddly enough this wa first trailer without a voice over since dr strangelove in,2022-12-30,neutral
UgzES8xzEPYAZJ8PWRB4AaABAg,Ahsoka | Teaser Trailer | Disney+,Ayush Srivastava,if thrawn survived this ezra had survived too so that he mean by saying trust me sabine wow it wa teasr to asoka and ezra return excited to see rebel back together including zeeb and ezera missing kanan,2023-04-23,positive
Ugwy3d4hbDnkDrDZyAN4AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,MonkeyBruddha,over three year later and i am still coming back to this take me back to the time when everything in my life wa good,2023-02-24,positive
UgxIFd4H0zwKRk6uK114AaABAg,Andor | Official Trailer | Disney+,Roger Melly,over the past few week we have had a marvel show a star war show and show based on lord of the ring and i have not bothered to watch any of them ten year ago that would have seemed unimaginable to me,2022-10-23,neutral
UgwDfBSayYdWj6Tz2Xh4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Oula Hynynen,i say in the name of sw consistencythere really ought to be a re-edit of jake lloyd's scene replacing him with a digital rendering of young hayden christiansen get with it disney,2023-04-09,neutral
Ugyq0S_NQb4dTugy0xd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Rumpel Stilzchen,i hope we can see kanan in a flashback or something still my favourite character,2023-04-24,positive
Ugx9xrMpcl3MHIwPSVh4AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,The West is the Best,like it or not the prequels cemented star war a a generation spanning franchise without them it would have died out and none of the great star war content we have today would have happened,2022-11-12,negative
UgwjzhuOMmX9NnHAfU94AaABAg,Star Wars: The Rise of Skywalker | Final Trailer,Tumbleweed43,sequel trilogy should have been about a galaxy that thought it didnt need the force and a young new generation eager to help but not sure who to believe only to find out that there is evil and good in the galaxy and the force will be with you always,2023-03-26,negative
UgxtV6kQ6q55npbPCll4AaABAg,Ahsoka | Teaser Trailer | Disney+,Billy_mcCann02,kathleen kennedy ha ruined star war for me i already hate rebel so like this show better actually be good,2023-04-25,negative
UgxNjhFxc6kFHxOm9Rd4AaABAg,Ahsoka | Teaser Trailer | Disney+,Jake W,if they make thrown look like a dumbest i'm giving up on starwars he is latterly the most intelligent person in all of starwars,2023-04-23,positive
UgzblUQphdDKiANrW_F4AaABAg,Andor | Official Trailer | Disney+,WC3Gaming,cant believ how much i enjoed this show more of this type please screw mandalorian and that frog baby this is real star war,2023-03-20,negative
Ugx6zaf6OuXvMTahOLV4AaABAg,Ahsoka | Teaser Trailer | Disney+,Pe Vo,ive been hoping for an ashoka movie for so long i kinda gave up and now that ive seen the trailer the first thing i noticed is that in every scene but one ashoka is not holding her sabre using her trademark reverse grip shes holding them like everyone else doe and to me that just reek of what im going to assume is huge lack of attention to detail on disney part which i have to believe is going to be indicative of the whole show i hope im wrong i really i hope im wrong,2023-04-23,negative
Ugzifj7XGHVvPUA8Fw94AaABAg,Star Wars Episode I: The Phantom Menace - Trailer,Average internet User,i'm rewatching for the great memory it gave to me and my friend,2022-11-22,positive
UgxDLX-gO5LfP5ToG6t4AaABAg,Andor | Official Trailer | Disney+,cmg2006,the best series of the year and first good one of disney at last,2022-12-12,positive
UgzLdo56uF-i0wmbmyB4AaABAg,Andor | Official Trailer | Disney+,MECO1,people can moan about the pace all they like but this is the only star war show that i am genuinely looking forward to each week,2022-10-09,negative
